sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Asignatura1,Asignatura2,Asignatura3,Asignatura4,Asignatura5,Asignatura6,Asignatura7,Asignatura8,Asignatura9,Asignatura10,Asignatura11,Asignatura12
F,17,R,GT3,T,1,2,other,other,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,1,3,1,4,"[13, 19, 14, 1, 17, 19, 6, 5, 15, 16]","[8, 16, 2, 11, 14, 12, 12, 4, 20, 5]","[20, 0, 15, 18, 14, 17, 20, 10, 14, 2]","[1, 15, 13, 7, 12, 8, 2, 10, 1, 2]","[12, 15, 12, 19, 0, 17, 6, 8, 4, 0]","[4, 15, 0, 19, 0, 10, 2, 2, 16, 1]","[13, 13, 16, 0, 10, 0, 3, 12, 4, 13]","[5, 9, 1, 9, 0, 20, 10, 11, 14, 4]","[4, 1, 5, 3, 17, 0, 17, 9, 8, 11]","[2, 4, 13, 4, 15, 7, 9, 0, 3, 9]","[0, 14, 18, 20, 17, 8, 14, 1, 0, 10]","[8, 14, 7, 4, 2, 10, 3, 12, 4, 14]"
F,18,R,LE3,T,4,4,other,other,reputation,mother,2,3,0,no,no,no,no,yes,yes,yes,no,5,4,4,1,1,1,0,"[20, 18, 20, 7, 20, 20, 2, 11, 20, 8]","[20, 20, 9, 19, 20, 9, 4, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 4, 20, 19]","[0, 20, 20, 20, 20, 11, 0, 20, 20, 20]","[20, 20, 9, 8, 20, 20, 20, 20, 10, 4]","[20, 14, 4, 13, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[17, 20, 6, 20, 20, 20, 20, 20, 13, 20]","[20, 20, 20, 5, 13, 20, 20, 20, 20, 20]","[2, 20, 20, 19, 20, 20, 20, 20, 20, 20]","[20, 8, 20, 3, 20, 12, 20, 18, 20, 15]","[17, 20, 20, 20, 9, 20, 20, 20, 20, 20]"
F,18,R,GT3,T,1,1,other,other,home,mother,4,3,0,no,no,no,no,yes,yes,yes,no,4,3,2,1,2,4,4,"[12, 4, 20, 5, 10, 20, 9, 20, 0, 20]","[2, 9, 20, 14, 20, 20, 1, 7, 20, 20]","[2, 13, 13, 20, 20, 1, 19, 20, 17, 20]","[14, 8, 20, 12, 20, 7, 4, 20, 0, 2]","[20, 7, 6, 0, 3, 10, 1, 4, 12, 7]","[14, 0, 10, 11, 16, 15, 4, 19, 4, 15]","[11, 10, 18, 8, 14, 17, 17, 5, 1, 16]","[13, 20, 10, 13, 12, 6, 20, 20, 13, 7]","[16, 20, 17, 18, 5, 14, 20, 16, 9, 2]","[11, 20, 20, 0, 20, 5, 20, 5, 12, 15]","[0, 20, 6, 4, 20, 13, 9, 0, 19, 20]","[14, 20, 1, 10, 10, 20, 20, 7, 12, 16]"
F,19,R,GT3,T,1,1,at_home,other,course,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,1,3,4,"[17, 15, 10, 0, 0, 5, 19, 0, 14, 12]","[1, 10, 7, 9, 9, 5, 4, 14, 1, 9]","[4, 1, 7, 18, 20, 2, 7, 2, 10, 17]","[16, 13, 11, 8, 9, 4, 20, 5, 8, 10]","[19, 8, 7, 19, 1, 8, 2, 14, 5, 0]","[9, 13, 17, 9, 20, 5, 1, 11, 17, 11]","[0, 4, 12, 1, 18, 16, 14, 1, 0, 0]","[12, 2, 9, 13, 12, 0, 16, 11, 10, 19]","[14, 12, 3, 4, 18, 9, 10, 17, 4, 4]","[0, 17, 15, 7, 1, 16, 5, 10, 8, 0]","[18, 19, 0, 1, 15, 5, 12, 7, 0, 11]","[17, 15, 10, 14, 8, 0, 2, 0, 15, 18]"
F,18,R,LE3,T,4,4,teacher,services,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,4,3,3,4,2,1,"[10, 0, 4, 20, 15, 15, 20, 6, 20, 20]","[20, 20, 10, 11, 20, 6, 20, 20, 20, 20]","[4, 20, 0, 17, 20, 20, 5, 20, 9, 20]","[20, 3, 9, 20, 20, 20, 9, 1, 16, 6]","[8, 20, 20, 20, 20, 20, 5, 4, 20, 20]","[3, 1, 9, 11, 20, 18, 20, 11, 9, 0]","[12, 3, 20, 19, 20, 1, 20, 5, 14, 20]","[0, 20, 6, 20, 2, 20, 20, 10, 20, 8]","[1, 20, 20, 20, 3, 20, 20, 20, 20, 20]","[19, 15, 3, 20, 20, 9, 12, 8, 1, 4]","[11, 20, 14, 20, 12, 13, 3, 20, 20, 20]","[8, 12, 20, 20, 20, 20, 20, 20, 17, 20]"
F,18,U,GT3,T,3,3,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,4,1,3,1,2,1,1,"[20, 20, 1, 20, 20, 19, 20, 20, 7, 16]","[8, 1, 12, 13, 20, 20, 20, 12, 20, 8]","[16, 20, 20, 20, 20, 20, 2, 20, 20, 20]","[7, 17, 20, 18, 17, 20, 20, 11, 16, 14]","[2, 20, 20, 0, 20, 10, 20, 8, 0, 20]","[20, 20, 8, 20, 2, 20, 19, 0, 20, 3]","[20, 20, 20, 9, 20, 13, 17, 20, 20, 20]","[20, 10, 20, 20, 6, 20, 14, 4, 20, 20]","[4, 20, 20, 20, 20, 6, 20, 20, 18, 20]","[20, 20, 16, 20, 20, 5, 8, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 8, 20, 8, 20]","[20, 20, 20, 20, 20, 20, 20, 10, 17, 20]"
F,17,R,GT3,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes,no,yes,no,yes,yes,no,4,5,4,2,3,1,10,"[4, 8, 17, 15, 8, 7, 6, 6, 18, 12]","[15, 2, 1, 0, 2, 5, 15, 8, 17, 13]","[9, 14, 17, 1, 19, 9, 15, 10, 14, 10]","[13, 6, 18, 0, 1, 9, 8, 17, 6, 5]","[5, 1, 20, 6, 18, 10, 5, 0, 2, 13]","[7, 12, 1, 15, 8, 0, 16, 20, 4, 4]","[13, 4, 13, 6, 6, 15, 10, 15, 0, 11]","[17, 3, 6, 20, 15, 19, 14, 1, 16, 14]","[16, 0, 18, 3, 2, 0, 8, 2, 2, 7]","[17, 10, 0, 19, 14, 13, 11, 2, 17, 11]","[7, 3, 3, 16, 20, 7, 11, 13, 0, 13]","[6, 6, 17, 1, 0, 0, 11, 2, 1, 6]"
M,18,U,GT3,T,4,4,teacher,teacher,home,father,1,2,0,no,no,no,yes,no,yes,yes,no,3,2,4,1,4,2,4,"[20, 20, 20, 20, 13, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 14, 0]","[20, 20, 2, 20, 20, 20, 20, 20, 17, 20]","[20, 20, 20, 20, 20, 20, 20, 15, 20, 20]","[20, 20, 14, 20, 20, 20, 20, 20, 20, 11]","[20, 20, 20, 16, 20, 20, 20, 20, 20, 20]","[17, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 19, 20, 20]","[14, 20, 20, 18, 20, 18, 20, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 12]","[20, 20, 20, 20, 20, 20, 0, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no,no,yes,no,yes,yes,yes,4,4,3,1,3,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
M,17,U,GT3,T,2,3,other,services,home,father,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,3,1,1,3,4,"[20, 17, 14, 3, 20, 20, 4, 20, 20, 12]","[8, 11, 20, 20, 20, 20, 14, 20, 13, 20]","[20, 20, 20, 20, 9, 13, 20, 20, 12, 20]","[12, 20, 18, 3, 20, 13, 11, 20, 4, 20]","[20, 6, 17, 20, 2, 12, 20, 20, 8, 20]","[4, 16, 20, 20, 20, 20, 8, 16, 8, 20]","[20, 20, 20, 0, 20, 20, 20, 20, 20, 11]","[20, 20, 17, 20, 20, 20, 20, 20, 8, 20]","[20, 2, 15, 20, 20, 3, 16, 20, 20, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[20, 0, 2, 20, 20, 1, 2, 20, 18, 20]","[20, 20, 20, 3, 20, 19, 6, 20, 20, 9]"
M,19,R,GT3,T,1,1,other,services,other,mother,2,1,1,no,no,no,no,yes,yes,no,no,4,3,2,1,3,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
M,18,R,GT3,T,4,2,other,other,home,father,2,1,1,no,no,yes,no,yes,yes,no,no,5,4,3,4,3,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
F,18,R,GT3,T,2,2,at_home,other,other,mother,2,3,0,no,no,no,no,yes,yes,no,no,5,3,3,1,3,4,0,"[20, 8, 20, 2, 6, 3, 20, 1, 20, 19]","[20, 20, 13, 19, 20, 20, 20, 20, 20, 15]","[20, 20, 16, 20, 20, 10, 20, 20, 16, 20]","[20, 18, 20, 20, 0, 20, 20, 8, 20, 2]","[0, 20, 13, 20, 20, 18, 15, 20, 2, 20]","[20, 18, 5, 10, 12, 20, 20, 19, 20, 20]","[20, 20, 20, 12, 5, 20, 20, 6, 1, 4]","[13, 5, 20, 20, 3, 20, 17, 12, 9, 18]","[14, 20, 20, 11, 20, 20, 20, 20, 11, 20]","[5, 0, 20, 20, 20, 2, 20, 20, 16, 5]","[20, 9, 7, 20, 6, 17, 20, 4, 18, 14]","[20, 20, 6, 0, 20, 20, 2, 20, 20, 20]"
F,17,U,GT3,T,4,3,teacher,other,other,mother,2,2,0,no,no,no,no,yes,yes,yes,no,5,5,4,1,1,1,0,"[6, 8, 9, 0, 5, 18, 16, 2, 9, 20]","[4, 16, 2, 16, 6, 11, 17, 3, 17, 6]","[20, 10, 1, 7, 20, 19, 20, 20, 1, 10]","[16, 16, 18, 20, 3, 2, 14, 19, 1, 15]","[10, 4, 1, 20, 4, 11, 7, 20, 14, 16]","[11, 4, 13, 12, 6, 4, 15, 5, 17, 11]","[4, 11, 19, 13, 18, 20, 9, 0, 6, 20]","[16, 14, 18, 11, 1, 0, 12, 1, 14, 20]","[5, 2, 20, 11, 11, 14, 20, 9, 9, 20]","[19, 3, 16, 4, 13, 14, 14, 5, 9, 15]","[10, 5, 20, 1, 20, 13, 3, 12, 17, 1]","[18, 10, 12, 5, 1, 12, 11, 20, 12, 9]"
F,18,R,GT3,T,4,4,teacher,at_home,reputation,mother,3,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,2,2,5,4,"[7, 0, 12, 12, 14, 3, 11, 0, 2, 19]","[8, 17, 4, 19, 19, 5, 14, 17, 13, 10]","[3, 0, 6, 20, 15, 10, 5, 3, 9, 13]","[11, 12, 0, 8, 12, 7, 14, 11, 8, 15]","[3, 18, 16, 8, 18, 15, 9, 17, 15, 18]","[1, 9, 18, 20, 15, 5, 12, 15, 15, 7]","[18, 0, 6, 13, 9, 0, 14, 20, 12, 15]","[7, 5, 2, 11, 13, 0, 0, 20, 14, 0]","[3, 17, 13, 15, 8, 11, 3, 6, 10, 3]","[20, 3, 2, 3, 8, 13, 4, 5, 20, 0]","[0, 19, 13, 18, 8, 12, 1, 19, 10, 0]","[17, 9, 7, 10, 0, 6, 15, 15, 17, 16]"
F,19,R,GT3,T,2,3,services,other,course,mother,1,3,1,no,no,no,yes,no,yes,yes,no,5,4,2,1,2,5,4,"[11, 17, 6, 4, 2, 10, 7, 13, 10, 14]","[1, 8, 19, 5, 20, 10, 12, 15, 12, 14]","[7, 9, 4, 14, 20, 4, 4, 2, 0, 19]","[14, 16, 15, 8, 1, 11, 19, 16, 12, 5]","[4, 19, 8, 5, 16, 18, 19, 12, 13, 12]","[3, 16, 13, 4, 8, 10, 3, 8, 11, 3]","[17, 18, 19, 7, 0, 14, 19, 2, 12, 3]","[2, 2, 3, 17, 10, 0, 10, 10, 3, 13]","[17, 0, 4, 9, 11, 5, 8, 0, 16, 5]","[5, 20, 19, 20, 3, 19, 19, 1, 10, 12]","[2, 12, 5, 14, 10, 18, 7, 0, 12, 16]","[10, 3, 13, 6, 4, 14, 17, 3, 20, 15]"
F,18,U,LE3,T,3,1,teacher,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,1,1,1,4,"[20, 20, 11, 3, 12, 9, 20, 20, 20, 8]","[20, 20, 20, 20, 20, 20, 6, 20, 0, 20]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[14, 20, 4, 20, 16, 17, 20, 20, 8, 20]","[20, 20, 20, 20, 19, 20, 20, 20, 20, 7]","[2, 17, 9, 20, 20, 3, 20, 20, 20, 20]","[20, 20, 0, 20, 14, 20, 15, 20, 20, 20]","[13, 20, 20, 20, 0, 15, 20, 20, 19, 20]","[20, 5, 20, 20, 1, 6, 20, 6, 5, 7]","[20, 0, 20, 20, 3, 20, 17, 0, 20, 12]","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]","[18, 7, 19, 1, 10, 15, 9, 18, 20, 20]"
F,18,U,GT3,T,1,1,other,other,course,mother,2,2,0,no,no,no,yes,yes,yes,no,no,1,1,1,1,1,5,6,"[15, 0, 4, 13, 3, 12, 13, 11, 13, 16]","[5, 18, 16, 2, 19, 7, 12, 9, 6, 9]","[11, 7, 12, 9, 20, 16, 20, 9, 12, 9]","[4, 3, 0, 0, 9, 16, 14, 16, 15, 5]","[3, 13, 4, 7, 12, 7, 3, 3, 5, 3]","[14, 10, 1, 19, 5, 2, 2, 2, 18, 6]","[15, 4, 8, 4, 0, 8, 18, 8, 15, 0]","[2, 9, 4, 18, 8, 14, 10, 5, 4, 16]","[12, 7, 5, 10, 13, 9, 13, 11, 3, 3]","[19, 9, 0, 0, 12, 1, 7, 14, 4, 2]","[11, 14, 4, 10, 9, 14, 0, 1, 15, 2]","[17, 19, 18, 11, 1, 14, 10, 16, 8, 13]"
M,17,U,LE3,T,3,1,services,services,course,mother,2,1,0,no,no,no,no,no,yes,yes,no,2,4,5,3,4,2,6,"[11, 0, 19, 20, 17, 8, 3, 15, 18, 10]","[20, 9, 20, 5, 16, 5, 11, 16, 4, 0]","[1, 17, 6, 17, 6, 20, 3, 20, 18, 5]","[18, 20, 5, 15, 4, 15, 14, 10, 13, 13]","[18, 11, 8, 9, 1, 8, 17, 9, 12, 20]","[1, 13, 7, 2, 17, 4, 12, 2, 6, 16]","[14, 15, 6, 5, 1, 12, 5, 7, 19, 0]","[1, 14, 20, 10, 13, 20, 8, 14, 2, 18]","[0, 2, 15, 0, 0, 19, 10, 20, 18, 15]","[18, 5, 13, 5, 0, 7, 0, 11, 4, 5]","[0, 0, 6, 20, 0, 3, 20, 3, 20, 9]","[6, 5, 14, 3, 20, 14, 10, 2, 12, 2]"
M,18,R,LE3,T,3,2,services,other,course,mother,3,1,0,no,no,no,no,no,yes,yes,no,4,4,1,3,4,5,4,"[5, 18, 2, 6, 12, 15, 4, 5, 2, 2]","[12, 7, 20, 9, 5, 19, 20, 10, 4, 20]","[5, 11, 2, 11, 15, 4, 9, 7, 5, 20]","[11, 0, 9, 1, 20, 18, 19, 10, 14, 3]","[9, 20, 20, 20, 1, 12, 20, 20, 5, 10]","[17, 4, 12, 4, 18, 19, 3, 4, 19, 14]","[20, 14, 3, 5, 19, 5, 20, 20, 14, 8]","[2, 20, 20, 15, 9, 11, 20, 20, 11, 13]","[20, 20, 16, 7, 14, 11, 14, 14, 18, 4]","[4, 5, 4, 20, 20, 10, 7, 2, 4, 1]","[20, 2, 10, 20, 5, 1, 19, 3, 10, 13]","[15, 6, 20, 4, 1, 9, 16, 16, 0, 4]"
